;roomType;roomPrice;roomURL;hostType;rating;countReviews;;Kitchen;Smoking allowed;Pool;Laundry room;Dryer;WiFi;Ethernet connection;TV;Pets Allowed;Patio;Crib;Bedroom 2;Baby bath;Unavailable: Lock on bedroom door;Sauna;Refrigerator;Waterfront;View;Long term stays allowed;Breakfast;Bedroom;Lock on bedroom door;High Chair;Lit path to the guest entrance;HDTV;Elevator;Accessible;Security Cameras;Bathroom;Smoke Alarm;EV Charger;Parking;Fire pit;Microwave;Washer;Luggage Dropoff Allowed;Air Conditioning;Hot Tub;Bathtub;Carbon Monoxide Alarm
184;Cabana;1.0;https://www.airbnb.com/rooms/1028306924485075887?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234613_C0Qy%2F6zP6sW4BYSJ&previous_page_section_name=1000&federated_search_id=9d9d3c15-33af-4968-8704-f56ea3be691f;preferido;5.0;24;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1
185;Apartamento;562.0;https://www.airbnb.com/rooms/866121426316710559?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234613_NqBaCX79ZAq4Yya1&previous_page_section_name=1000&federated_search_id=9d9d3c15-33af-4968-8704-f56ea3be691f;preferido;4.92;52;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1
186;Casa;255.0;https://www.airbnb.com/rooms/10430430?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234613_hzjGWOMzTM1Ide4X&previous_page_section_name=1000&federated_search_id=9d9d3c15-33af-4968-8704-f56ea3be691f;superhost;4.88;298;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1
187;Condomínio;465.0;https://www.airbnb.com/rooms/681194578215151469?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234613_LQl2yjYwztht%2Bl3g&previous_page_section_name=1000&federated_search_id=9d9d3c15-33af-4968-8704-f56ea3be691f;preferido;4.95;38;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1
188;Chalé;459.0;https://www.airbnb.com/rooms/892908979026307854?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_qKdzxPjuRQLNID6D&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;preferido;5.0;16;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
189;Cabana;1.0;https://www.airbnb.com/rooms/990447717551092144?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_S3C%2BGmCqZZADJjnG&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;preferido;5.0;9;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1
190;Cabana;649.0;https://www.airbnb.com/rooms/50518684?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_RCPSaqKPIXTBs3RG&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;preferido;4.93;88;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1
191;Casa;390.0;https://www.airbnb.com/rooms/895482239923597597?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_3lUc70WEUWrKjOpL&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;superhost;5.0;7;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
192;Chalé;913.0;https://www.airbnb.com/rooms/37364048?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_j1MGWV%2B%2BBjxzO%2FLm&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;preferido;4.93;201;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1
193;Loft;449.0;https://www.airbnb.com/rooms/45749397?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_YdPzmH3gUnMJpyW7&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;superhost;4.84;194;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
194;Casa;331.0;https://www.airbnb.com/rooms/687715887344108116?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_cl7yNfS2osfoluWs&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;preferido;4.98;49;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1
195;Lugar;1.0;https://www.airbnb.com/rooms/17124407?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_5dNTGPgSBndbN8mL&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;preferido;4.98;117;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1
196;Condomínio;789.0;https://www.airbnb.com/rooms/613765809307419904?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_qW8dAgmg%2BMj1P%2B1q&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;preferido;4.91;69;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1
197;Cabana;635.0;https://www.airbnb.com/rooms/945707759275865764?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_CUk1HxiAgKkWfLWh&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;preferido;4.94;18;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1
198;Microcasa;487.0;https://www.airbnb.com/rooms/50360900?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_ah5Eqrv0f%2B15az9V&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;preferido;4.93;41;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1
199;Casa;304.0;https://www.airbnb.com/rooms/752231326478114366?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_z5dG%2FLBOoH4Fr1jX&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;superhost;;;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1
200;Apartamento;297.0;https://www.airbnb.com/rooms/894784665469097992?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_jr7PZPra%2FpR0sAiQ&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;preferido;5.0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201;Quarto;390.0;https://www.airbnb.com/rooms/752227842694786444?adults=2&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1520436417&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_kyHiTho%2BOE8yT3R7&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;superhost;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202;Casa;187.0;https://www.airbnb.com/rooms/970564983894513445?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_1T3OcdytR2mIIzqK&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;no_class;5.0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203;Chalé;984.0;https://www.airbnb.com/rooms/888028070282687506?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_8qFB3YPK552DOBdl&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;superhost;4.71;7;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0
204;Cabana;685.0;https://www.airbnb.com/rooms/1050150394077921523?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234629_Vw0UKSfBswDtGh8Y&previous_page_section_name=1000&federated_search_id=d02c84ce-e7fe-440c-bd4d-4ce6856cc129;superhost;5.0;5;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;1
205;Quarto;238.0;https://www.airbnb.com/rooms/1051389488005539997?adults=2&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1837661163&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_NPssN2lhpp37gv8G&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;no_class;;;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;1
206;Microcasa;333.0;https://www.airbnb.com/rooms/928214502113281498?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_%2F2J5Htb8WdgIMxeA&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;preferido;5.0;8;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0
207;Apartamento;360.0;https://www.airbnb.com/rooms/13128082?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_N1kzD8MwQMhml4cE&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;preferido;4.88;128;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;1
208;Lugar;106.0;https://www.airbnb.com/rooms/26626748?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_eIsQpQelnPnUvwKM&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;no_class;4.72;159;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1
209;Cabana;559.0;https://www.airbnb.com/rooms/671169882101956711?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_o3AHykvE4K9tC00A&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;preferido;4.86;7;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1
210;Cabana;604.0;https://www.airbnb.com/rooms/787082332341751772?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_xmAo9X8DQ8UKK%2Fif&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;preferido;4.86;29;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1
211;Casa;582.0;https://www.airbnb.com/rooms/51655843?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_AZ0rt%2FohotOKBeGS&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;preferido;4.86;92;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212;Loft;571.0;https://www.airbnb.com/rooms/34505078?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_vHFdwnUW0qMzafT%2B&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;preferido;4.90;149;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1
213;Quarto;207.0;https://www.airbnb.com/rooms/44694982?adults=2&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1052303934&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_dW5n29Rerfeb4zvU&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;no_class;4.94;48;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1
214;Apartamento;479.0;https://www.airbnb.com/rooms/52244765?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_6vd9xVL%2BZso79WBJ&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;preferido;4.97;65;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1
215;Quarto;106.0;https://www.airbnb.com/rooms/50180071?adults=2&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1190896632&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_h0S1ASzwwVSNlJHN&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;no_class;4.60;63;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
216;Chalé;913.0;https://www.airbnb.com/rooms/3550327?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_mxtw5myFFn6nO2ZT&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;preferido;4.92;229;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1
217;Chalé;662.0;https://www.airbnb.com/rooms/616009356191587591?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_ootTn4dbxln4F0%2Bf&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;preferido;4.99;91;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
218;Apartamento;171.0;https://www.airbnb.com/rooms/1133473876929036640?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_%2FVTH69A7pqx9YaeU&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;no_class;;;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
219;Apartamento;462.0;https://www.airbnb.com/rooms/35752415?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_8jz9fciC5sqJeDet&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;preferido;4.94;107;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;Apartamento;228.0;https://www.airbnb.com/rooms/597983137553412292?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_kZa%2FswcGTqZx4V87&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;superhost;4.78;36;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
221;Chalé;905.0;https://www.airbnb.com/rooms/1082748672089959353?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234645_CSLYUt88Gu%2BW1nHt&previous_page_section_name=1000&federated_search_id=1b0a29c6-d041-4ce1-9d39-d3f33ef35b69;preferido;5.0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222;Loft;639.0;https://www.airbnb.com/rooms/50011130?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_KQMOW99WrLNKFaBz&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;preferido;5.0;184;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
223;Cabana;468.0;https://www.airbnb.com/rooms/569594904960566855?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_Pn5srSS9eca%2F9Li3&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;preferido;4.96;115;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
224;Apartamento;526.0;https://www.airbnb.com/rooms/702892190507782244?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_vC%2BbC%2BV8ZQxRtyEn&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;preferido;4.92;26;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1
225;Quarto;117.0;https://www.airbnb.com/rooms/829716896003350361?adults=2&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1590768821&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_v%2BGuJpJ8PbkICval&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;no_class;4.44;34;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
226;Chalé;345.0;https://www.airbnb.com/rooms/23010224?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_v%2BnTLTelzd27k1oL&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;preferido;4.91;160;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1
227;Apartamento;481.0;https://www.airbnb.com/rooms/1118274747948104683?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_R3z49gLmeCPEeZkM&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;superhost;5.0;4;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1
228;Apartamento;458.0;https://www.airbnb.com/rooms/593416693265029071?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_5wONggrCMHf2ztUb&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;preferido;4.96;94;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0
229;Chalé;183.0;https://www.airbnb.com/rooms/43872674?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_AaT7bSKGTHpoJbTk&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;no_class;4.78;135;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1
230;Casa;258.0;https://www.airbnb.com/rooms/556416112053233369?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_cVHhJQo4UHzIR2zn&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;preferido;4.97;33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231;Casa;554.0;https://www.airbnb.com/rooms/911670018584619356?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_Sd%2FnGA7iRfxCj16U&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;preferido;5.0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232;Cabana;662.0;https://www.airbnb.com/rooms/779595643505551490?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_h7Ak%2FUdWx4N%2BIQsG&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;superhost;5.0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233;Cabana;278.0;https://www.airbnb.com/rooms/1144451674585136926?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_78bz7pQN7H2ArKvx&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;no_class;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;Casa;194.0;https://www.airbnb.com/rooms/49799016?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_pE4Hr9Q2cEc2bwX5&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;preferido;5.0;67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
235;Apartamento;439.0;https://www.airbnb.com/rooms/549663194976939670?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_pZQilGMUZdDEoGIG&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;preferido;5.0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
236;Casa;692.0;https://www.airbnb.com/rooms/1146614634116303682?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_89nsuYD9pxcoil%2By&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;no_class;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
237;Apartamento;990.0;https://www.airbnb.com/rooms/1110963923513749355?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234661_OVSkXKnsKSdj29Ta&previous_page_section_name=1000&federated_search_id=a6170c55-88ac-4c45-bb93-4b69f6133459;no_class;5.0;4;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1
238;Apartamento;990.0;https://www.airbnb.com/rooms/1111513287283821815?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234677_LOxvbfi1HYIaGrzz&previous_page_section_name=1000&federated_search_id=68b5cb74-4fd5-4946-8d0f-6c4a0b56a640;preferido;5.0;5;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1
239;Suíte;208.0;https://www.airbnb.com/rooms/54144865?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234677_6L8N%2FXL1dTwjrsig&previous_page_section_name=1000&federated_search_id=68b5cb74-4fd5-4946-8d0f-6c4a0b56a640;preferido;4.94;52;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1
