;roomType;roomPrice;roomURL;hostType;rating;countReviews;;Kitchen;Smoking allowed;Pool;Laundry room;Dryer;WiFi;Ethernet connection;TV;Pets Allowed;Patio;Crib;Bedroom 2;Baby bath;Unavailable: Lock on bedroom door;Sauna;Refrigerator;Waterfront;View;Long term stays allowed;Breakfast;Bedroom;Lock on bedroom door;High Chair;Lit path to the guest entrance;HDTV;Elevator;Accessible;Security Cameras;Bathroom;Smoke Alarm;EV Charger;Parking;Fire pit;Microwave;Washer;Luggage Dropoff Allowed;Air Conditioning;Hot Tub;Bathtub;Carbon Monoxide Alarm
11;Cabana;685.0;https://www.airbnb.com/rooms/958044210581017065?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_F0MphfWLxgnQWvuB&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.97;58;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1
12;Chalé;577.0;https://www.airbnb.com/rooms/655150009210807038?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_TMRF2bKrupxFOgOB&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.94;180;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1
13;Chalé;884.0;https://www.airbnb.com/rooms/1085780205469627428?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_4aYjFiHpCZxGUfPd&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;5.0;24;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1
14;Cabana;1.0;https://www.airbnb.com/rooms/901693480908972523?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_Pkj276ZWhEMuDwSa&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;5.0;46;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Microcasa;456.0;https://www.airbnb.com/rooms/52010272?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_gjX22o8ym%2FbdSNhf&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.99;166;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Casa;149.0;https://www.airbnb.com/rooms/50865165?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_tfTQxAsvwT6ka4s2&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;superhost;4.99;106;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1
17;Casa;445.0;https://www.airbnb.com/rooms/45426216?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234447_3HwndoKbL5Sg0x6j&previous_page_section_name=1000&federated_search_id=be86f4a8-f1e0-4824-a925-3eb25828cf48;preferido;4.91;85;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1
18;Pousada;199.0;https://www.airbnb.com/rooms/1051305131977147194?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_7tGgcXiwi8mLOpTn&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;no_class;4.76;41;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;0;1
19;Loft;296.0;https://www.airbnb.com/rooms/931003206276495620?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_OFgc%2Fh6N%2Bc1jIspQ&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;4.94;31;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
20;Loft;268.0;https://www.airbnb.com/rooms/928506248734453239?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_%2FkkZeVIASo6VRLxP&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;4.98;63;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
